308.850, 129.495, 4.287,  4.379 False
308.707, 129.495, 4.318,  4.412 False
308.562, 129.495, 4.350,  4.445 False
308.416, 129.495, 4.382,  4.478 False
308.269, 129.495, 4.413,  4.511 False
308.121, 129.495, 4.444,  4.544 False
307.972, 129.496, 4.475,  4.577 False
307.822, 129.496, 4.506,  4.610 False
307.672, 129.496, 4.537,  4.643 False
307.520, 129.496, 4.568,  4.676 False
307.366, 129.496, 4.599,  4.709 False
307.212, 129.496, 4.630,  4.742 False
307.057, 129.496, 4.661,  4.775 False
306.901, 129.496, 4.691,  4.808 False
306.744, 129.496, 4.722,  4.841 False
306.586, 129.498, 4.751,  4.874 False
306.427, 129.500, 4.781,  4.907 False
306.267, 129.504, 4.812,  4.940 False
306.106, 129.506, 4.844,  4.973 False
305.943, 129.510, 4.874,  5.006 False
305.780, 129.514, 4.906,  5.039 False
305.616, 129.519, 4.937,  5.072 False
305.451, 129.522, 4.968,  5.105 False
305.284, 129.527, 4.999,  5.138 False
305.117, 129.533, 5.029,  5.171 False
304.949, 129.539, 5.060,  5.204 False
304.779, 129.544, 5.091,  5.237 False
304.609, 129.550, 5.121,  5.270 False
304.438, 129.557, 5.151,  5.303 False
304.265, 129.564, 5.177,  5.336 False
304.093, 129.572, 5.188,  5.369 False
303.920, 129.580, 5.183,  5.402 False
303.748, 129.588, 5.182,  5.435 False
303.575, 129.596, 5.192,  5.468 False
303.402, 129.603, 5.210,  5.501 False
303.228, 129.611, 5.236,  5.534 False
303.053, 129.618, 5.267,  5.567 False
302.877, 129.627, 5.303,  5.600 False
302.699, 129.635, 5.342,  5.633 False
302.520, 129.643, 5.382,  5.666 False
302.340, 129.652, 5.423,  5.699 False
302.158, 129.660, 5.463,  5.732 False
301.975, 129.668, 5.504,  5.765 False
301.790, 129.677, 5.544,  5.798 False
301.605, 129.686, 5.583,  5.831 False
301.418, 129.696, 5.622,  5.864 False
301.230, 129.705, 5.660,  5.897 False
301.040, 129.715, 5.697,  5.930 False
300.850, 129.726, 5.733,  5.963 False
300.658, 129.738, 5.769,  5.996 False
300.465, 129.749, 5.805,  6.029 False
300.271, 129.759, 5.840,  6.062 False
300.076, 129.770, 5.874,  6.095 False
299.880, 129.781, 5.908,  6.128 False
