-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.024,  0.181
-183.800, 80.197, 0.028,  0.214
-183.799, 80.193, 0.124,  0.247
-183.797, 80.185, 0.278,  0.280
-183.795, 80.172, 0.381,  0.313
-183.792, 80.156, 0.487,  0.346
-183.787, 80.131, 0.769,  0.379
-183.780, 80.098, 0.997,  0.412
-183.773, 80.059, 1.179,  0.445
-183.765, 80.016, 1.318,  0.478
-183.756, 79.969, 1.413,  0.511
-183.747, 79.922, 1.439,  0.544
-183.738, 79.875, 1.447,  0.577
-183.729, 79.828, 1.447,  0.610
-183.720, 79.781, 1.441,  0.643
-183.710, 79.735, 1.424,  0.676
-183.701, 79.689, 1.407,  0.709
-183.692, 79.644, 1.389,  0.742
-183.683, 79.599, 1.372,  0.775
-183.674, 79.555, 1.356,  0.808
-183.664, 79.511, 1.342,  0.841
-183.655, 79.468, 1.331,  0.874
-183.646, 79.425, 1.322,  0.907
-183.636, 79.382, 1.317,  0.940
-183.627, 79.339, 1.315,  0.973
-183.617, 79.296, 1.315,  1.006
-183.608, 79.253, 1.319,  1.039
-183.598, 79.210, 1.325,  1.072
-183.588, 79.167, 1.333,  1.105
-183.578, 79.123, 1.343,  1.138
-183.568, 79.079, 1.353,  1.171
-183.557, 79.034, 1.365,  1.204
-183.547, 78.990, 1.377,  1.237
-183.536, 78.944, 1.388,  1.270
-183.525, 78.899, 1.399,  1.303
-183.514, 78.853, 1.410,  1.336
-183.503, 78.807, 1.419,  1.369
-183.492, 78.761, 1.428,  1.402
-183.481, 78.714, 1.436,  1.435
-183.469, 78.667, 1.442,  1.468
-183.458, 78.620, 1.448,  1.501
-183.446, 78.573, 1.454,  1.534
-183.435, 78.526, 1.458,  1.567
-183.423, 78.478, 1.462,  1.600
-183.411, 78.431, 1.466,  1.633
-183.399, 78.383, 1.469,  1.666
-183.388, 78.336, 1.473,  1.699
-183.376, 78.288, 1.476,  1.732
